,System,Battery Capacity,Energy Required from Grid,Annual Curtailment,Annual Profit,Net Present Value,LCOE,IRR,Discount Rate
0,SouthRoof+Overhang,60,42.62963924583334,14903.503084022253,79137.60137615816,162144.16521458907,6.776943968972231,0.11914439756377448,0.01
1,SouthRoof+Overhang,60,42.62963924583334,14903.503084022253,79137.60137615816,134072.1683493737,5.6207049053047164,0.11914439756377448,0.02
2,SouthRoof+Overhang,60,42.62963924583334,14903.503084022253,79137.60137615816,110210.63553907652,4.63989829267222,0.11914439756377448,0.03
3,SouthRoof+Overhang,60,42.62963924583334,14903.503084022253,79137.60137615816,89826.92953139791,3.803774064184951,0.11914439756377448,0.04
4,SouthRoof+Overhang,60,42.62963924583334,14903.503084022253,79137.60137615816,72328.33459964658,3.087485165072793,0.11914439756377448,0.05
5,SouthRoof+Overhang,60,42.62963924583334,14903.503084022253,79137.60137615816,57233.458957878116,2.470876414304583,0.11914439756377448,0.06
6,2SidedRoof,70,1.5291823054166667,22895.63053155701,121575.7981225677,164343.789660637,5.234954233472041,0.09556548625357775,0.01
7,2SidedRoof,70,1.5291823054166667,22895.63053155701,121575.7981225677,132402.8006365146,4.243975767929347,0.09556548625357775,0.02
8,2SidedRoof,70,1.5291823054166667,22895.63053155701,121575.7981225677,105248.1375504318,3.4032099651381453,0.09556548625357775,0.03
9,2SidedRoof,70,1.5291823054166667,22895.63053155701,121575.7981225677,82047.44643816045,2.6863435817267107,0.09556548625357775,0.04
10,2SidedRoof,70,1.5291823054166667,22895.63053155701,121575.7981225677,62127.274637720555,2.072112450066464,0.09556548625357775,0.05
11,2SidedRoof,70,1.5291823054166667,22895.63053155701,121575.7981225677,44940.603844912985,1.5432658879642394,0.09556548625357775,0.06
12,2SidedRoof,60,16.449244649166666,22888.73238583076,121539.16896876131,167158.22254638025,5.316121298762991,0.09849422548688658,0.01
13,2SidedRoof,60,16.449244649166666,22888.73238583076,121539.16896876131,135223.4331396848,4.325126660574497,0.09849422548688658,0.02
14,2SidedRoof,60,16.449244649166666,22888.73238583076,121539.16896876131,108074.02492591698,3.484346819010319,0.09849422548688658,0.03
15,2SidedRoof,60,16.449244649166666,22888.73238583076,121539.16896876131,84877.80982174324,2.7674681878016854,0.09849422548688658,0.04
16,2SidedRoof,60,16.449244649166666,22888.73238583076,121539.16896876131,64961.46918325132,2.153226318589738,0.09849422548688658,0.05
17,2SidedRoof,60,16.449244649166666,22888.73238583076,121539.16896876131,47778.093399341065,1.6243702983501591,0.09849422548688658,0.06
18,2SidedRoof,80,0.00043547125,22902.130902482008,121610.31509217947,161504.94747557177,5.153156052424569,0.09273150816516562,0.01
19,2SidedRoof,80,0.00043547125,22902.130902482008,121610.31509217947,129560.37189846611,4.16225777291665,0.09273150816516562,0.02
20,2SidedRoof,80,0.00043547125,22902.130902482008,121610.31509217947,102402.67251246316,3.321560237545745,0.09273150816516562,0.03
21,2SidedRoof,80,0.00043547125,22902.130902482008,121610.31509217947,79199.39819431955,2.6047522604629187,0.09273150816516562,0.04
22,2SidedRoof,80,0.00043547125,22902.130902482008,121610.31509217947,59277.01786946834,1.9905713411325556,0.09273150816516562,0.05
23,2SidedRoof,80,0.00043547125,22902.130902482008,121610.31509217947,42088.44970708649,1.4617681534060338,0.09273150816516562,0.06
24,2SidedRoof+Overhang,60,3.2515213579166673,30765.541849229165,163365.02721940685,171880.02270950595,4.4603218237945095,0.08533883439877488,0.01
25,2SidedRoof+Overhang,60,3.2515213579166673,30765.541849229165,163365.02721940685,136131.2288141777,3.5632456310438494,0.08533883439877488,0.02
26,2SidedRoof+Overhang,60,3.2515213579166673,30765.541849229165,163365.02721940685,105735.87290045337,2.8020502837560364,0.08533883439877488,0.03
27,2SidedRoof+Overhang,60,3.2515213579166673,30765.541849229165,163365.02721940685,79763.36552867154,2.1529440258165113,0.08533883439877488,0.04
28,2SidedRoof+Overhang,60,3.2515213579166673,30765.541849229165,163365.02721940685,57460.72022504455,1.596698867418911,0.08533883439877488,0.05
29,2SidedRoof+Overhang,60,3.2515213579166673,30765.541849229165,163365.02721940685,38216.27339607118,1.117714762048139,0.08533883439877488,0.06
30,2SidedRoof+Overhang,50,19.966398070833332,30756.359500608338,163316.26894823022,174552.55825908214,4.522864986795011,0.08751106731329572,0.01
31,2SidedRoof+Overhang,50,19.966398070833332,30756.359500608338,163316.26894823022,138811.3519416189,3.625775471150927,0.08751106731329572,0.02
32,2SidedRoof+Overhang,50,19.966398070833332,30756.359500608338,163316.26894823022,108422.43525140549,2.864568829084764,0.08751106731329572,0.03
33,2SidedRoof+Overhang,50,19.966398070833332,30756.359500608338,163316.26894823022,82455.4195154358,2.215452943469913,0.08751106731329572,0.04
34,2SidedRoof+Overhang,50,19.966398070833332,30756.359500608338,163316.26894823022,60157.48057551646,1.6591995339564183,0.08751106731329572,0.05
35,2SidedRoof+Overhang,50,19.966398070833332,30756.359500608338,163316.26894823022,40917.08657580575,1.1802083192755282,0.08751106731329572,0.06
36,SouthRoof+Overhang,70,16.426912663750002,14909.235080125169,79168.03827546467,159342.79898776556,6.669851094119367,0.11488960742950427,0.01
37,SouthRoof+Overhang,70,16.426912663750002,14909.235080125169,79168.03827546467,131262.83560560292,5.5135262937598055,0.11488960742950427,0.02
38,SouthRoof+Overhang,70,16.426912663750002,14909.235080125169,79168.03827546467,107394.57830046114,4.532650035297497,0.11488960742950427,0.03
39,SouthRoof+Overhang,70,16.426912663750002,14909.235080125169,79168.03827546467,87005.16891944857,3.6964691112903267,0.11488960742950427,0.04
